epoch,total,score,position,dimension,angle
1,133830.0,117570.0,2461.5,12841.0,953.98
2,85822.0,71185.0,2421.8,11355.0,860.33
3,65678.0,54941.0,2382.2,7531.0,823.39
4,59528.0,52669.0,2341.7,3725.7,791.14
5,55371.0,49635.0,2280.9,2705.1,749.21
6,54592.0,49270.0,2272.2,2314.4,735.51
7,53059.0,48068.0,2235.0,2038.3,717.48
8,53624.0,48790.0,2209.7,1923.8,700.97
9,51581.0,46898.0,2180.0,1823.2,680.05
10,51137.0,46553.0,2138.5,1783.3,661.49
11,50673.0,46143.0,2116.0,1770.5,643.84
12,49293.0,44895.0,2069.2,1706.7,621.76
13,48355.0,44042.0,2029.2,1677.3,606.41
14,47620.0,43338.0,2005.9,1675.2,600.84
15,47153.0,42909.0,1994.9,1658.2,590.58
16,46602.0,42380.0,1986.0,1652.1,584.88
17,45980.0,41786.0,1970.4,1644.3,579.03
18,44854.0,40723.0,1940.2,1626.5,564.33
19,44385.0,40291.0,1919.2,1616.7,557.66
20,44043.0,39958.0,1913.7,1613.9,557.21
21,43691.0,39621.0,1901.1,1618.4,550.88
22,43016.0,39024.0,1870.1,1582.1,539.79
23,42737.0,38739.0,1857.8,1603.4,536.76
24,41937.0,37996.0,1830.7,1577.0,532.81
25,41991.0,38058.0,1816.0,1588.6,528.54
26,41301.0,37430.0,1775.6,1576.7,517.98
27,40661.0,36807.0,1765.5,1574.8,514.44
28,40158.0,36352.0,1740.1,1557.9,508.1
29,39737.0,35952.0,1724.0,1554.5,506.48
30,39129.0,35394.0,1695.2,1538.2,501.81
31,38891.0,35168.0,1671.7,1547.6,503.11
32,38508.0,34806.0,1660.2,1547.0,494.89
33,38089.0,34438.0,1633.3,1526.8,490.59
34,37906.0,34234.0,1628.2,1548.0,495.27
35,37804.0,34170.0,1608.3,1541.2,484.6
36,37342.0,33731.0,1601.0,1528.2,482.01
37,36917.0,33358.0,1574.4,1507.8,476.82
38,36569.0,33027.0,1554.9,1511.2,475.49
39,36385.0,32864.0,1540.8,1511.5,468.4
40,35944.0,32435.0,1535.1,1504.4,468.62
41,35867.0,32369.0,1519.0,1510.4,468.31
42,35824.0,32373.0,1502.3,1490.1,459.15
43,35125.0,31702.0,1486.0,1481.2,455.91
44,34870.0,31480.0,1465.5,1475.5,449.43
45,34438.0,31086.0,1444.4,1457.3,450.91
46,34267.0,30925.0,1440.7,1451.7,449.74
47,34013.0,30693.0,1424.6,1453.2,442.03
48,33745.0,30468.0,1400.6,1437.9,439.09
49,33683.0,30398.0,1396.2,1446.6,442.44
50,33222.0,29966.0,1383.6,1434.3,437.79
51,32977.0,29756.0,1361.7,1428.3,431.48
52,32778.0,29568.0,1356.1,1418.2,435.55
53,32658.0,29482.0,1344.1,1407.6,424.77
54,32482.0,29306.0,1337.8,1415.4,422.29
55,32050.0,28925.0,1318.4,1392.3,414.1
